# temp  energy  qhat_over_T3
  0.750000  20.532960   2.876845
  0.150000  21.890540   4.453719
  0.170000  21.890540   4.353737
  0.190000  21.890540   4.262413
  0.210000  21.890540   4.178223
  0.230000  21.890540   4.100073
  0.250000  21.890540   4.027066
  0.270000  21.890540   3.958513
  0.290000  21.890540   3.893897
  0.310000  21.890540   3.832820
  0.330000  21.890540   3.774959
  0.350000  21.890540   3.719999
  0.370000  21.890540   3.667666
  0.390000  21.890540   3.617749
  0.410000  21.890540   3.570049
  0.430000  21.890540   3.524383
  0.450000  21.890540   3.480608
  0.470000  21.890540   3.438509
  0.490000  21.890540   3.397966
  0.510000  21.890540   3.358952
  0.530000  21.890540   3.321350
  0.550000  21.890540   3.285071
  0.570000  21.890540   3.250051
  0.590000  21.890540   3.216186
  0.610000  21.890540   3.183447
  0.630000  21.890540   3.151729
  0.650000  21.890540   3.121005
  0.670000  21.890540   3.091206
  0.690000  21.890540   3.062276
  0.710000  21.890540   3.034113
  0.730000  21.890540   3.006744
  0.750000  21.890540   2.980135
  0.150000  23.248120   4.596555
  0.170000  23.248120   4.493286
  0.190000  23.248120   4.398968
  0.210000  23.248120   4.312078
  0.230000  23.248120   4.231411
  0.250000  23.248120   4.156184
  0.270000  23.248120   4.085517
  0.290000  23.248120   4.018916
  0.310000  23.248120   3.955988
  0.330000  23.248120   3.896373
  0.350000  23.248120   3.839743
  0.370000  23.248120   3.785830
  0.390000  23.248120   3.734414
  0.410000  23.248120   3.685281
  0.430000  23.248120   3.638257
  0.450000  23.248120   3.593176
  0.470000  23.248120   3.549832
  0.490000  23.248120   3.508099
  0.510000  23.248120   3.467939
  0.530000  23.248120   3.429234
  0.550000  23.248120   3.391887
  0.570000  23.248120   3.355836
  0.590000  23.248120   3.320979
  0.610000  23.248120   3.287265
  0.630000  23.248120   3.254619
  0.650000  23.248120   3.222984
  0.670000  23.248120   3.192309
  0.690000  23.248120   3.162521
  0.710000  23.248120   3.133527
  0.730000  23.248120   3.105355
  0.750000  23.248120   3.077963
  0.150000  24.605700   4.731384
  0.170000  24.605700   4.625034
  0.190000  24.605700   4.527910
  0.210000  24.605700   4.438447
  0.230000  24.605700   4.355446
  0.250000  24.605700   4.278105
  0.270000  24.605700   4.205457
  0.290000  24.605700   4.137039
  0.310000  24.605700   4.072387
  0.330000  24.605700   4.011131
  0.350000  24.605700   3.952943
  0.370000  24.605700   3.897569
  0.390000  24.605700   3.844756
  0.410000  24.605700   3.794300
  0.430000  24.605700   3.746009
  0.450000  24.605700   3.699717
  0.470000  24.605700   3.655215
  0.490000  24.605700   3.612383
  0.510000  24.605700   3.571166
  0.530000  24.605700   3.531428
  0.550000  24.605700   3.493110
  0.570000  24.605700   3.456096
  0.590000  24.605700   3.420323
  0.610000  24.605700   3.385711
  0.630000  24.605700   3.352204
  0.650000  24.605700   3.319726
